timestamp,message_type,src_system,src_component,payload_json
1776972286.3507235,GPS_RAW_INT,1,1,"{""mavpackettype"": ""GPS_RAW_INT"", ""time_usec"": 1685428000, ""fix_type"": 6, ""lat"": -353633516, ""lon"": 1491652412, ""alt"": 100, ""eph"": 121, ""epv"": 200, ""vel"": 0, ""cog"": 17999, ""satellites_visible"": 10, ""alt_ellipsoid"": 100, ""h_acc"": 300, ""v_acc"": 300, ""vel_acc"": 0, ""hdg_acc"": 0, ""yaw"": 0}"
1776972286.3510516,SYSTEM_TIME,1,1,"{""mavpackettype"": ""SYSTEM_TIME"", ""time_unix_usec"": 1776972285436648, ""time_boot_ms"": 1685464}"
1776972286.3513694,WIND,1,1,"{""mavpackettype"": ""WIND"", ""direction"": -180.0, ""speed"": 0.0, ""speed_z"": 0.0}"
1776972286.3517103,TERRAIN_REPORT,1,1,"{""mavpackettype"": ""TERRAIN_REPORT"", ""lat"": -353633515, ""lon"": 1491652411, ""spacing"": 100, ""terrain_height"": 586.3452758789062, ""current_height"": -586.2552490234375, ""pending"": 0, ""loaded"": 504}"
1776972286.3520129,EKF_STATUS_REPORT,1,1,"{""mavpackettype"": ""EKF_STATUS_REPORT"", ""flags"": 831, ""velocity_variance"": 0.006149444729089737, ""pos_horiz_variance"": 0.006148043554276228, ""pos_vert_variance"": 0.012283812277019024, ""compass_variance"": 0.011278229765594006, ""terrain_alt_variance"": 0.0, ""airspeed_variance"": 0.0}"
1776972286.3523123,LOCAL_POSITION_NED,1,1,"{""mavpackettype"": ""LOCAL_POSITION_NED"", ""time_boot_ms"": 1685464, ""x"": 0.017143188044428825, ""y"": -0.017850810661911964, ""z"": 0.0035050432197749615, ""vx"": 0.01937120221555233, ""vy"": -0.020180124789476395, ""vz"": -0.004737215116620064}"
1776972286.3526015,VIBRATION,1,1,"{""mavpackettype"": ""VIBRATION"", ""time_usec"": 1685464711, ""vibration_x"": 0.002495579654350877, ""vibration_y"": 0.0028506529051810503, ""vibration_z"": 0.002936635399237275, ""clipping_0"": 0, ""clipping_1"": 0, ""clipping_2"": 0}"
1776972286.3529809,BATTERY_STATUS,1,1,"{""mavpackettype"": ""BATTERY_STATUS"", ""id"": 0, ""battery_function"": 0, ""type"": 0, ""temperature"": 32767, ""voltages"": [12600, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535], ""current_battery"": 0, ""current_consumed"": 0, ""energy_consumed"": 0, ""battery_remaining"": 99, ""time_remaining"": 0, ""charge_state"": 1, ""voltages_ext"": [0, 0, 0, 0], ""mode"": 0, ""fault_bitmask"": 0}"
1776972286.3538375,UNKNOWN_295,0,0,"{""mavpackettype"": ""UNKNOWN_295"", ""data"": ""bytearray(b\""\\xfd\\x0c\\x00\\x00>\\x01\\x01\\'\\x01\\x00\\xee\\xe9p?\\x00\\x18\\x82?\\xff\\x7f\\x00\\x02\\xb4E\"")""}"
1776972286.3541443,AHRS2,1,1,"{""mavpackettype"": ""AHRS2"", ""roll"": -0.001585511490702629, ""pitch"": -0.001787929912097752, ""yaw"": 0.0029396547470241785, ""altitude"": 0.25999999046325684, ""lat"": -353633516, ""lng"": 1491652412}"
1776972286.3544376,ATTITUDE,1,1,"{""mavpackettype"": ""ATTITUDE"", ""time_boot_ms"": 1685464, ""roll"": -0.0011753336293622851, ""pitch"": -0.0013774577528238297, ""yaw"": -0.013982896693050861, ""rollspeed"": -0.00026508315932005644, ""pitchspeed"": -0.0002772795269265771, ""yawspeed"": -0.000739231938496232}"
1776972286.3547573,VFR_HUD,1,1,"{""mavpackettype"": ""VFR_HUD"", ""airspeed"": 0.941069483757019, ""groundspeed"": 0.027972860261797905, ""heading"": 359, ""throttle"": 0, ""alt"": 0.08999999612569809, ""climb"": 0.004737215116620064}"
1776972286.3551633,SIMSTATE,1,1,"{""mavpackettype"": ""SIMSTATE"", ""roll"": 0.0, ""pitch"": 0.0, ""yaw"": 0.00010003882925957441, ""xacc"": -3.176373552203626e-20, ""yacc"": 1.0932397300569183e-23, ""zacc"": -9.806650161743164, ""xgyro"": 0.0, ""ygyro"": 0.0, ""zgyro"": 4.3655745685100555e-09, ""lat"": -353633516, ""lng"": 1491652412}"
1776972286.355498,AOA_SSA,1,1,"{""mavpackettype"": ""AOA_SSA"", ""time_usec"": 1685464711, ""AOA"": 0.0, ""SSA"": 0.0}"
1776972286.3559022,ESC_TELEMETRY_1_TO_4,1,1,"{""mavpackettype"": ""ESC_TELEMETRY_1_TO_4"", ""temperature"": [0, 0, 32, 0], ""voltage"": [0, 0, 1679, 0], ""current"": [0, 0, 80, 0], ""totalcurrent"": [0, 0, 1, 0], ""rpm"": [0, 0, 0, 0], ""count"": [0, 0, 18438, 0]}"
